name	mean_pH
C14_S32_497_2	3.55
C14_S32_561_2	3.48
C14_S32_597_2	3.48
C14_S33_12_5	5.16
C14_S33_14_4	4.77
C14_S34_407_2	5.96
C14_S35_660_2	5.84
C14_S36_10_54	5.55
C14_S36_110_3	5.55
C14_S36_112_3	5.55
C14_S36_116_3	5.55
C14_S36_120_3	5.55
C14_S36_130_5	5.55
C14_S36_133_7	5.55
C14_S36_137_4	5.55
C14_S36_144_3	5.55
C14_S36_20_37	5.55
C14_S36_217_6	5.55
C14_S36_220_2	5.55
C14_S36_223_6	5.55
C14_S36_225_3	5.55
C14_S36_245_2	5.55
C14_S36_251_3	5.55
C14_S36_271_4	5.55
C14_S36_272_2	5.55
C14_S36_309_2	5.55
C14_S36_323_2	5.55
C14_S36_377_2	5.55
C14_S36_440_2	5.55
C14_S36_445_2	5.55
C14_S36_470_2	5.55
C14_S36_578_2	5.55
C14_S36_67_7	5.55
C14_S39_122_2	4.7
C14_S39_204_2	4.7
C14_S39_231_2	4.7
C14_S39_297_2	4.7
C14_S39_9_9	4.7
C14_S39_96_2	4.7
C14_S40_124_2	4.72
C14_S40_27_4	4.5
C14_S41_147_3	5
C14_S41_500_2	5
C14_S41_538_2	5
C14_S41_563_2	5
C14_S41_641_2	5
C14_S41_676_2	5.31
C14_S41_681_2	5
C14_S41_87_4	5
C14_S42_100_2	5.45
C14_S42_101_2	5.5
C14_S42_118_2	5.5
C14_S42_119_2	5.5
C14_S42_145_2	5.5
C14_S42_146_2	5.5
C14_S42_54_2	5.5
C14_S42_91_2	6
C14_S47_143_4	5.03
C14_S47_227_2	5.03
C14_S47_237_2	5.03
C14_S47_48_4	5.03
C15_S1_23_3	4.3
C15_S15_94_2	5.06
C15_S17_0_165	4
C15_S17_281_2	4.01
C15_S18_0_322	3.7
C15_S36_108_5	5.55
C15_S36_136_3	5.55
C16_S16_150_3	4.33
C16_S37_201_2	7.06
C16_S37_462_3	8.46
C16_S38_469_2	7.04
C16_S43_28_3	6.43
C16_S44_85_4	6.5
C16_S45_143_3	7.03
C16_S45_209_2	7.04
C16_S45_303_3	7
C17_S37_116_3	8.46
C18_S39_223_2	7.03
C18_S44_200_2	6.72
C18_S44_317_3	6.64
C18_S44_41_5	6.72
C19_S31_328_2	7.06
C2_S10_10_17	6.66
C2_S10_163_2	6.64
C2_S10_165_2	6.49
C2_S11_147_2	7.9
C2_S13_102_4	8.18
C2_S19_1006_2	6.38
C2_S19_1010_2	6.29
C2_S19_1018_2	6.17
C2_S19_1028_2	6.17
C2_S19_1053_2	6.82
C2_S19_1056_6	6.17
C2_S19_1061_2	6.17
C2_S19_32_14	6.17
C2_S20_243_2	6.4
C2_S20_42_12	6.4
C2_S20_45_7	6.91
C2_S20_751_2	6.04
C2_S23_542_2	6.18
C2_S23_96_3	6.18
C2_S25_565_2	6.76
C2_S25_675_2	6.74
C2_S25_712_4	6.75
C2_S26_226_2	8.05
C2_S27_646_2	8.04
C2_S27_959_2	8.04
C2_S28_40_2	7.23
C2_S31_346_2	7.12
C2_S31_81_4	7.02
C2_S35_1_123	6.76
C2_S35_128_3	6.86
C2_S35_129_3	6.87
C2_S35_138_4	6.74
C2_S35_148_3	6.86
C2_S35_180_3	6.87
C2_S35_230_2	6.86
C2_S35_239_2	6.86
C2_S35_496_3	6.86
C2_S35_710_3	6.86
C2_S37_87_3	8.46
C2_S44_113_2	6.5
C2_S44_47_3	6.5
C2_S45_298_2	7
C2_S46_107_2	7.5
C2_S46_342_2	7.5
C2_S5_112_2	7.59
C3_S13_134_3	7.6
C3_S16_111_3	4.33
C3_S16_125_2	4.33
C3_S16_182_2	4.33
C3_S16_186_4	4.33
C3_S16_210_2	4.33
C3_S16_259_2	4.33
C3_S19_156_4	6.98
C3_S31_220_3	7.84
C3_S31_98_6	7.21
C3_S37_202_2	8.46
C3_S44_35_4	7.03
C3_S46_234_2	7.5
C3_S46_268_3	7.5
C3_S46_326_3	7.5
C3_S46_376_2	7.5
C4_S11_273_2	8.3
C4_S13_138_2	7.97
C4_S14_142_2	8.66
C4_S14_204_2	8.21
C4_S16_160_2	4.33
C4_S16_54_2	4.33
C4_S37_135_2	8.46
C4_S37_178_3	8.46
C4_S37_185_2	8.46
C4_S37_208_2	8.46
C4_S37_86_3	8.46
