species	mass
Gerbillurus_paeba	28.5
Gerbillurus_tytonis	24
Gerbillus_gleadowi	26.1
Gerbillus_andersoni	22
Gerbillus_henleyi	11.7
Gerbillus_gerbillus	25
Gerbillus_dasyurus	24.4
Gerbillus_perpallidus	-999
Gerbillus_simoni	-999
Gerbillus_cheesmani	43.35
Gerbillus_nanus	18.5
Gerbillus_pyramidum	37
Golunda_ellioti	65
Grammomys_rutilans	53
Grammomys_dolichurus	43.7
Grammomys_cometes	-999
Graomys_griseoflavus	66
Hodomys_alleni	368
Holochilus_brasiliensis	155
Hybomys_univittatus	51.8
Hydromys_chrysogaster	606
Hylomyscus_alleni	20
Hylomyscus_stella	16.7
Hyomys_goliath	882
Hyperacrius_fertilis	-999
Hyperacrius_wynnei	52.6
Hypogeomys_antimena	1250
Lagurus_lagurus	20.3
Lasiopodomys_brandtii	-999
Leggadina_lakedownensis	17.5
Leggadina_forresti	20
Lemmiscus_curtatus	27.17
Lemmus_lemmus	51.67
Lemmus_sibiricus	59.2
Lemniscomys_griselda	59
Lemniscomys_striatus	42.3
Leporillus_conditor	332.5
Lophiomys_imhausi	755
Lophuromys_woosnami	-999
Lophuromys_luteogaster	-999
Lophuromys_flavopunctatus	55
Lophuromys_sikapusi	44.5
Macrotarsomys_bastardi	-999
Malacothrix_typica	12.33
Mastomys_erythroleucus	37.77
Mastomys_natalensis	44.97
Megadontomys_thomasi	111
Melomys_levipes	81.6
Melomys_rubex	45.9
Melomys_rufescens	57.4
Melomys_moncktoni	89.8
Melomys_leucogaster	96
Melomys_capensis	65
Melomys_burtoni	62
Melomys_cervinipes	94
Meriones_persicus	100
Meriones_tristrami	105
Meriones_libycus	77
Meriones_shawi	185
Meriones_vinogradovi	150
Meriones_crassus	48.3
Meriones_tamariscinus	-999
Meriones_meridianus	53
Meriones_hurrianae	70
Meriones_unguiculatus	53.2
Mesembriomys_macrurus	268.5
Mesembriomys_gouldii	900
Mesocricetus_brandti	197.5
Mesocricetus_raddei	-999
Mesocricetus_auratus	105
Micromys_minutus	6
Microtus_lusitanicus	-999
Microtus_transcaspicus	-999
Microtus_duodecimcostatus	-999
Microtus_abbreviatus	50
Microtus_mexicanus	35
Microtus_juldaschi	-999
Microtus_breweri	54
Microtus_montebelli	39.85
Microtus_townsendii	54.8
Microtus_miurus	39.5
Microtus_longicaudus	36.7
Microtus_chrotorrhinus	39
Microtus_canicaudus	35.3
Microtus_richardsoni	106.2
Microtus_xanthognathus	141.5
Microtus_pennsylvanicus	43.67
Microtus_pinetorum	25.5
Microtus_gregalis	47.5
Microtus_guentheri	51.6
Microtus_oeconomus	93.33
Microtus_agrestis	46
Microtus_subterraneus	19.5
Microtus_ochrogaster	40
Microtus_oregoni	20.5
Microtus_montanus	49.5
Microtus_californicus	53.5
Microtus_socialis	48
Microtus_arvalis	27.5
Microtus_fortis	63
Millardia_meltada	70
Mus_caroli	11.25
Mus_spretus	12.8
Mus_mayori	-999
Mus_cervicolor	17.7
Mus_musculoides	6
Mus_platythrix	28.2
Mus_booduga	9.22
Mus_triton	12.45
Mus_minutoides	7.25
Mus_musculus	20.5
Myomys_fumatus	30
Myomys_derooi	32
Myomys_daltoni	33.5
Myopus_schisticolor	25
Myospalax_myospalax	-999
Mystromys_albicaudatus	106
Nannospalax_leucodon	178
Neacomys_tenuipes	19
Nectomys_squamipes	290
Nectomys_parvipes	257.5
Neofiber_alleni	269
Neotoma_devia	96.7
Neotoma_fuscipes	233.58
Neotoma_stephensi	142
Neotoma_cinerea	335.5
Neotoma_phenax	227.5
Neotoma_mexicana	203
Neotoma_albigula	198
Neotoma_lepida	125.33
Neotoma_micropus	236.33
Neotoma_floridana	370.5
Neotomodon_alstoni	50
Nesokia_indica	143.5
Niviventer_niviventer	66.4
Notomys_cervinus	35
Notomys_fuscus	35
Notomys_aquilo	39
Notomys_mitchellii	52
Notomys_alexis	35
Nyctomys_sumichrasti	53.33
Ochrotomys_nuttalli	22
Oecomys_concolor	60.67
Oenomys_hypoxanthus	85.5
Oligoryzomys_nigripes	22.65
Oligoryzomys_flavescens	21
Oligoryzomys_longicaudatus	27.75
Ondatra_zibethicus	1135.8
Onychomys_leucogaster	40
Onychomys_torridus	19
Oryzomys_subflavus	7.5
Oryzomys_palustris	47.67
Oryzomys_capito	63.15
Otomys_sloggetti	121
Otomys_typus	-999
Otomys_denti	-999
Otomys_angoniensis	150.95
Otomys_irroratus	146.85
Ototylomys_phyllotis	101
Oxymycterus_rufus	85.5
Pachyuromys_duprasi	32.5
Parotomys_brantsii	120
Pelomys_minor	50
Pelomys_fallax	118
Peromyscus_hooperi	36
Peromyscus_megalops	71
Peromyscus_melanocarpus	59
Peromyscus_mexicanus	60.5
Peromyscus_interparietalis	-999
Peromyscus_perfulvus	40
Peromyscus_melanophrys	40
Peromyscus_pectoralis	31.5
Peromyscus_gratus	26.9
Peromyscus_boylii	28.7
Peromyscus_yucatanicus	26.3
Peromyscus_gossypinus	29
Peromyscus_difficilis	28
Peromyscus_attwateri	30
Peromyscus_nasutus	28
Peromyscus_sitkensis	28.3
Peromyscus_crinitus	16.33
Peromyscus_polionotus	14
Peromyscus_truei	27
Peromyscus_maniculatus	20.5
Peromyscus_eremicus	25
Peromyscus_leucopus	23
Peromyscus_californicus	42
Peromyscus_melanotis	39.6
Petromyscus_collinus	21
Phenacomys_ungava	27
Phenacomys_intermedius	33
Phodopus_campbelli	23.4
Phodopus_sungorus	23.4
Phodopus_roborovskii	-999
Phyllotis_darwini	50.83
Pithecheir_parvus	104
Podomys_floridanus	31.25
Pogonomelomys_sevia	60.9
Pogonomys_sylvestris	39.1
Pogonomys_loriae	95
Pogonomys_macrourus	45.1
Praomys_jacksoni	40
Praomys_morio	21
Praomys_tullbergi	36.97
Praomys_delectorum	27
Psammomys_obesus	177.33
Pseudomys_fuscus	148
Pseudomys_oralis	95
Pseudomys_hermannsburgensis	12
Pseudomys_pilligaensis	11
Pseudomys_delicatulus	11
Pseudomys_gracilicaudatus	63
Pseudomys_desertor	25
Pseudomys_nanus	34
Pseudomys_australis	65
Pseudomys_fieldi	45
Pseudomys_praeconis	45
Pseudomys_shortridgei	64
Pseudomys_albocinereus	26
Pseudomys_higginsi	60.1
Pseudomys_fumeus	70
Pseudomys_apodemoides	20
Pseudomys_novaehollandiae	18
Rattus_colletti	61
Rattus_villosissimus	200
Rattus_tiomanicus	127.5
Rattus_leucopus	124
Rattus_steini	155
Rattus_praetor	139.35
Rattus_tunneyi	113.5
Rattus_sordidus	125
Rattus_argentiventer	202
Rattus_lutreolus	115
Rattus_fuscipes	133
Rattus_exulans	70
Rattus_norvegicus	280
Rattus_rattus	246.5
Reithrodon_auritus	72.17
Reithrodontomys_humulis	10.3
Reithrodontomys_megalotis	11.03
Reithrodontomys_montanus	9
Reithrodontomys_raviventris	11.05
Reithrodontomys_fulvescens	12.5
Rhabdomys_pumilio	51
Rhipidomys_latimanus	57.5
Rhipidomys_mastacalis	75
Rhizomys_sumatrensis	3000
Rhizomys_pruinosus	2450
Rhombomys_opimus	143
Saccostomus_campestris	47.38
Scotinomys_teguina	12
Scotinomys_xerampelinus	15
Sekeetamys_calurus	38.5
Sigmodon_leucotis	135.5
Sigmodon_ochrognathus	113.67
Sigmodon_fulviventer	211
Sigmodon_hispidus	185
Sigmodon_alstoni	55.7
Spalax_microphthalmus	-999
Steatomys_krebsii	24
Steatomys_pratensis	25.53
Stochomys_longicaudatus	74.5
Sundamys_muelleri	334
Synaptomys_cooperi	37.05
Synaptomys_borealis	21.3
Tachyoryctes_ruandae	-999
Tachyoryctes_splendens	207.5
Tateomys_rhinogradoides	84
Tatera_inclusa	131
Tatera_leucogaster	64.86
Tatera_robusta	93
Tatera_valida	113
Tatera_brantsii	75
Tatera_indica	146.67
Tatera_nigricauda	114
Tatera_afra	74.8
Taterillus_emini	-999
Taterillus_pygargus	48.1
Taterillus_gracilis	51.85
Thallomys_paedulcus	77.43
Thamnomys_venustus	65
Tylomys_nudicaudus	280
Uranomys_ruddi	47
Uromys__caudimaculatus	625
Vandeleuria_nolthenii	56.6
Wiedomys_pyrrhorhinos	47
Zelotomys_woosnami	54.5
Zygodontomys_brevicauda	58
Zyzomys_maini	94
Zyzomys_argurus	50
Zyzomys_woodwardi	130
Myocastor_coypus	7150
Dryomys_laniger	-999
Dryomys_nitedula	25
Eliomys_quercinus	115
Glirulus_japonicus	27
Graphiurus_crassicaudatus	-999
Graphiurus_murinus	24
Graphiurus_ocularis	68.8
Muscardinus_avellanarius	27.33
Myoxus_glis	125
Octodon_degus	235
Octodontomys_gliroides	158
Spalacopus_cyanus	98.05
Pedetes_capensis	3500
Petromus_typicus	200
Ammospermophilus_harrisii	126
Ammospermophilus_nelsoni	154.5
Ammospermophilus_interpres	110.2
Ammospermophilus_leucurus	97.5
Callosciurus_prevostii	400
Callosciurus_caniceps	30
Callosciurus_nigrovittatus	202
Callosciurus_notatus	190
Cynomys_ludovicianus	863
Cynomys_gunnisoni	816.67
Cynomys_parvidens	516
Cynomys_leucurus	873.5
Cynomys_mexicanus	828.1
Dremomys_lokriah	172.5
Epixerus_ebii	388
Exilisciurus_exilis	14.6
Funambulus_sublineatus	-999
Funambulus_palmarum	-999
Funambulus_pennantii	147.65
Funisciurus_anerythrus	218
Funisciurus_lemniscatus	141
Funisciurus_pyrropus	271.67
Funisciurus_congicus	106
Glaucomys_sabrinus	132.17
Glaucomys_volans	65.38
Heliosciurus_rufobrachium	326.5
Hylopetes_alboniger	240
Hylopetes_fimbriatus	510
Iomys_horsfieldi	120
Marmota_menzbieri	-999
Marmota_camtschatica	-999
Marmota_vancouverensis	4750
Marmota_olympus	6300
Marmota_caligata	6343.33
Marmota_bobak	-999
Marmota_flaviventris	2930
Marmota_broweri	3180
Marmota_marmota	2010
Marmota_sibirica	8000
Marmota_monax	3413
Marmota_caudata	4100
Marmota_baibacina	-999
Myosciurus_pumilio	16.5
Paraxerus_flavovittis	-999
Paraxerus_poensis	134
Paraxerus_ochraceus	-999
Paraxerus_palliatus	295
Paraxerus_cepapi	216
Petaurista_leucogenys	-999
Petaurista_elegans	1273.33
Petaurista_magnificus	1780
Petaurista_philippensis	-999
Petaurista_petaurista	1330
Petinomys_genibarbis	110
Petinomys_setosus	42.25
Petinomys_vordermanni	37
Petinomys_fuscocapillus	712
Pteromys_volans	130
Ratufa_indica	1060
Ratufa_macroura	1280
Ratufa_bicolor	2150
Rhinosciurus_laticaudatus	221
Sciurillus_pusillus	39
Sciurus_aureogaster	595
Sciurus_yucatanensis	225
Sciurus_alleni	461
Sciurus_arizonensis	760.5
Sciurus_griseus	751.67
Sciurus_aberti	702.5
Sciurus_niger	803.7
Sciurus_carolinensis	540.33
Sciurus_granatensis	374
Sciurus_vulgaris	324.75
Spermophilopsis_leptodactylus	-999
Spermophilus_relictus	600
Spermophilus_parryii	751
Spermophilus_mohavensis	190
Spermophilus_dauricus	200
Spermophilus_lateralis	157.6
Spermophilus_beldingi	278.5
Spermophilus_armatus	308
Spermophilus_canus	-999
Spermophilus_erythrogenys	-999
Spermophilus_pygmaeus	136
Spermophilus_major	-999
Spermophilus_mollis	165.4
Spermophilus_nayaritensis	707
Spermophilus_columbianus	466.33
Spermophilus_saturatus	275
Spermophilus_undulatus	840
Spermophilus_mexicanus	130.95
Spermophilus_elegans	401.05
Spermophilus_tereticaudus	163.33
Spermophilus_brunneus	205
Spermophilus_beecheyi	609.33
Spermophilus_fulvus	596
Spermophilus_suslicus	-999
Spermophilus_richardsonii	342.5
Spermophilus_franklinii	459
Spermophilus_townsendii	155
Spermophilus_washingtoni	203
Spermophilus_tridecemlineatus	172.67
Spermophilus_citellus	217
Spermophilus_variegatus	663.03
Spermophilus_spilosoma	119.5
Sundasciurus_lowii	67
Sundasciurus_tenuis	75
Tamias_ochrogenys	94.1
Tamias_palmeri	59.7
Tamias_siskiyou	75
Tamias_canipes	70
Tamias_sonomae	75
Tamias_ruficaudus	57.29
Tamias_panamintinus	54.15
Tamias_speciosus	60
Tamias_townsendii	84
Tamias_senex	94.81
Tamias_minimus	44.15
Tamias_cinereicollis	62.1
Tamias_quadrimaculatus	88.45
Tamias_amoenus	48.25
Tamias_sibiricus	85
Tamias_quadrivittatus	58.13
Tamias_dorsalis	62.8
Tamias_striatus	95.7
Tamiasciurus_douglasii	229.8
Tamiasciurus_hudsonicus	194.5
Trogopterus_xanthipes	-999
Xerus_erythropus	502
Xerus_inauris	588
Thryonomys_gregorianus	1880
Thryonomys_swinderianus	3687.5
Tupaia_montana	283
Tupaia_minor	700
Tupaia_tana	797
Tupaia_glis	159
Tupaia_belangeri	-999
Urogale_everetti	350
Ptilocercus_lowii	42.5
Dugong_dugon	479500
Hydrodamalis_gigas	4000000
Trichechus_senegalensis	500000
Trichechus_manatus	387500
Trichechus_inunguis	480000
Orycteropus_afer	60000
Bradypus_torquatus	3900
Bradypus_variegatus	4860
Bradypus_tridactylus	3770
Cabassous_centralis	2750
Chaetophractus_nationi	2150
Chaetophractus_villosus	2020
Dasypus_kappleri	10150
Dasypus_sabanicola	1150
Dasypus_hybridus	1500
Dasypus_septemcinctus	1475
Dasypus_novemcinctus	4300
Euphractus_sexcinctus	4600
Priodontes_maximus	50000
Tolypeutes_matacus	1225
Zaedyus_pichiy	1500
Choloepus_hoffmanni	4750
Choloepus_didactylus	6070
Cyclopes_didactylus	5070
Myrmecophaga_tridactyla	28500
Tamandua_tetradactyla	5030
