species	mass
Crossarchus_obscurus	727
Cynictis_penicillata	598.5
Galerella_pulverulenta	683
Galerella_sanguinea	448
Galidia_elegans	800
Galidictis_fasciata	-999
Helogale_parvula	274.8
Herpestes_javanicus	800
Herpestes_edwardsii	1008
Herpestes_ichneumon	2920
Ichneumia_albicauda	3150
Mungos_mungo	1331.5
Mungotictis_decemlineata	700
Paracynictis_selousi	1800
Suricata_suricatta	776
Crocuta_crocuta	63000
Hyaena_hyaena	40000
Parahyaena_brunnea	60200
Proteles_cristatus	10000
Amblonyx_cinereus	3000
Aonyx_congicus	24000
Aonyx_capensis	11800
Arctonyx_collaris	10500
Conepatus_leuconotus	3500
Conepatus_semistriatus	1200
Conepatus_mesoleucus	1996.67
Eira_barbara	4500
Enhydra_lutris	21800
Galictis_vittata	2350
Gulo_gulo	16333.33
Ictonyx_libyca	500
Ictonyx_striatus	765
Lontra_longicaudis	7500
Lontra_felina	-999
Lontra_canadensis	6225
Lutra_maculicollis	4000
Lutra_lutra	6750
Lutrogale_perspicillata	9000
Martes_flavigula	2500
Martes_zibellina	1066.67
Martes_foina	1700
Martes_americana	606.67
Martes_pennanti	2600
Martes_martes	1300
Meles_meles	13000
Mellivora_capensis	10000
Melogale_personata	2000
Mephitis_macroura	965
Mephitis_mephitis	1821.25
Mustela_nigripes	809
Mustela_lutreola	440
Mustela_altaica	171
Mustela_sibirica	405
Mustela_vison	899.75
Mustela_frenata	150.6
Mustela_erminea	110.33
Mustela_eversmannii	1350
Mustela_putorius	588.67
Mustela_nivalis	49.75
Poecilogale_albinucha	257.5
Pteronura_brasiliensis	24000
Spilogale_pygmaea	260
Spilogale_putorius	511.5
Taxidea_taxus	6050
Vormela_peregusna	542.5
Odobenus_rosmarus	650000
Arctocephalus_galapagoensis	27000
Arctocephalus_tropicalis	50000
Arctocephalus_forsteri	55000
Arctocephalus_gazella	40500
Arctocephalus_pusillus	77666.67
Arctocephalus_australis	45000
Eumetopias_jubatus	288932.5
Neophoca_cinerea	79633.33
Otaria_byronia	140000
Phocarctos_hookeri	-999
Zalophus_californianus	84666.67
Callorhinus_ursinus	49100
Cystophora_cristata	212000
Erignathus_barbatus	286666.67
Halichoerus_grypus	186000
Hydrurga_leptonyx	398666.67
Leptonychotes_weddellii	421666.67
Lobodon_carcinophagus	238333.33
Mirounga_leonina	579400
Mirounga_angustirostris	716666.67
Monachus_monachus	275000
Monachus_schauinslandi	173000
Ommatophoca_rossii	187666.67
Phoca_largha	80000
Phoca_caspica	86000
Phoca_hispida	86140
Phoca_groenlandica	128786.67
Phoca_fasciata	82500
Phoca_vitulina	101250
Phoca_sibirica	81666.67
Bassaricyon_gabbii	1242.5
Bassariscus_sumichrasti	900
Bassariscus_astutus	975.5
Nasua_nasua	4750
Nasua_narica	3750
Potos_flavus	3000
Procyon_cancrivorus	6270
Procyon_lotor	4400
Ailuropoda_melanoleuca	111600
Ailurus_fulgens	4325
Helarctos_malayanus	46000
Melursus_ursinus	100000
Tremarctos_ornatus	61000
Ursus_thibetanus	76666.67
Ursus_maritimus	286366.67
Ursus_arctos	203500
Ursus_americanus	110560
Arctictis_binturong	12250
Arctogalidia_trivirgata	2250
Chrotogale_owstoni	3250
Civettictis_civetta	13666.67
Cryptoprocta_ferox	9500
Cynogale_bennettii	4000
Eupleres_goudotii	3000
Fossa_fossana	1540
Genetta_maculata	2225
Genetta_genetta	1866.67
Genetta_tigrina	1820
Hemigalus_derbyanus	2375
Nandinia_binotata	1900
Paguma_larvata	4300
Paradoxurus_zeylonensis	2380
Paradoxurus_hermaphroditus	3100
Prionodon_pardicolor	4500
Prionodon_linsang	698
Viverra_zibetha	10000
Viverricula_indica	3000
Balaena_mysticetus	80000000
Eubalaena_australis	23000000
Eubalaena_glacialis	23000000
Balaenoptera_physalus	66800000
Balaenoptera_musculus	149000000
Balaenoptera_borealis	14766666.67
Balaenoptera_edeni	20000000
Balaenoptera_acutorostrata	16266666.67
Megaptera_novaeangliae	30000000
Cephalorhynchus_heavisidii	-999
Cephalorhynchus_commersonii	72400
Cephalorhynchus_hectori	-999
Delphinus_delphis	76365
Feresa_attenuata	133000
Globicephala_melas	1060000
Globicephala_macrorhynchus	726000
Grampus_griseus	425000
Lagenodelphis_hosei	164000
Lagenorhynchus_albirostris	180000
Lagenorhynchus_obliquidens	103000
Lagenorhynchus_acutus	182000
Lagenorhynchus_obscurus	110000
Orcaella_brevirostris	190000
Orcinus_orca	4300000
Peponocephala_electra	206000
Pseudorca_crassidens	1360000
Sotalia_fluviatilis	46666.67
Stenella_coeruleoalba	122950
Stenella_longirostris	70333.33
Stenella_attenuata	68700
Steno_bredanensis	122500
Tursiops_truncatus	173333.33
Eschrichtius_robustus	25066666.67
Delphinapterus_leucas	665000
Monodon_monoceros	900000
Caperea_marginata	3200000
Neophocaena_phocaenoides	32500
Phocoena_sinus	45000
Phocoena_phocoena	53183.33
Phocoenoides_dalli	101666.67
Kogia_simus	190233.33
Kogia_breviceps	363000
Physeter_catodon	15400000
Inia_geoffrensis	96500
Lipotes_vexillifer	83500
Platanista_minor	-999
Platanista_gangetica	21000
Pontoporia_blainvillei	40333.33
Berardius_arnuxii	-999
Berardius_bairdii	8200000
Hyperoodon_ampullatus	5266666.67
Mesoplodon_carlhubbsi	1500000
Mesoplodon_densirostris	1050000
Mesoplodon_bidens	3400000
Ziphius_cavirostris	2952500
Cynocephalus_variegatus	1000
Cynocephalus_volans	-999
Dendrohyrax_arboreus	2950
Dendrohyrax_dorsalis	3116.67
Heterohyrax_brucei	2456.67
Procavia_capensis	3600
Amblysomus_hottentotus	64.8
Chrysochloris_stuhlmanni	39.8
Chrysochloris_asiatica	42
Chrysospalax_villosus	104
Eremitalpa_granti	23.2
Atelerix_algirus	745
Atelerix_albiventris	334
Atelerix_frontalis	309
Echinosorex_gymnura	956.5
Erinaceus_concolor	719
Erinaceus_europaeus	771
Hemiechinus_micropus	171
Hemiechinus_hypomelas	292
Hemiechinus_aethiopicus	358
Hemiechinus_auritus	342
Hylomys_suillus	64
Solenodon_cubanus	1000
Solenodon_paradoxus	900
Blarina_carolinensis	9.25
Blarina_hylophaga	14.5
Blarina_brevicauda	21.63
Crocidura_fuliginosa	12
Crocidura_turba	15
Crocidura_canariensis	7.5
Crocidura_fuscomurina	5
Crocidura_planiceps	2.5
Crocidura_crossei	7.2
Crocidura_mariquensis	9.7
Crocidura_viaria	17.1
Crocidura_flavescens	22
Crocidura_leucodon	9.91
Crocidura_hirta	13.67
Crocidura_russula	11.63
Crocidura_suaveolens	7.7
Cryptotis_parva	6.2
Diplomesodon_pulchellum	10
Myosorex_varius	11
Myosorex_cafer	13
Myosorex_geata	-999
Neomys_anomalus	16
Neomys_fodiens	14.32
Notiosorex_crawfordi	4.15
Sorex_mirabilis	-999
Sorex_dispar	4.9
Sorex_pacificus	6.71
Sorex_bairdii	8.34
Sorex_bendirii	15.88
Sorex_coronatus	9.6
Sorex_merriami	4
Sorex_cinereus	4.26
Sorex_arcticus	8.2
Sorex_ornatus	5.57
Sorex_hoyi	4.37
Sorex_monticolus	6
Sorex_trowbridgii	4.44
Sorex_minutus	7.25
Sorex_haydeni	3
Sorex_araneus	8.98
Sorex_longirostris	3.68
Sorex_nanus	2.5
Sorex_fumeus	8.2
Sorex_vagrans	5.58
Sorex_palustris	12.47
Suncus_murinus	45.87
Suncus_varilla	-999
Suncus_etruscus	2.1
Surdisorex_norae	-999
Surdisorex_polulus	-999
Sylvisorex_granti	-999
Condylura_cristata	55.33
Desmana_moschata	383
Galemys_pyrenaicus	61.3
Neurotrichus_gibbsii	10
Parascalops_breweri	50.18
Scalopus_aquaticus	74.6
Scapanus_townsendii	118.8
Scapanus_orarius	76.9
Scapanus_latimanus	52
Talpa_altaica	85
Talpa_europaea	133.3
Urotrichus_talpoides	19.5
Echinops_telfairi	180
