name	mean_pH	stdev	nb_sequences
C12_S13_59_3	8.48	0	61
C12_S13_95_2	8.52	0	145
C12_S21_275_2	8.16	0	2
C12_S21_565_2	8.09	0	11
C12_S27_352_3	8.04	0	3
C12_S27_610_3	8.04	0	3
C12_S27_809_2	8.28	0	26
C12_S31_198_2	7.86	0	12
C12_S31_316_2	7.21	0	2
C12_S37_11_10	8.35	0	882
C12_S37_155_2	8.46	0	4
C12_S37_157_2	8.46	0	27
C12_S37_184_2	8.46	0	2
C12_S37_199_2	8.46	0	20
C12_S37_210_2	8.46	0	2
C12_S37_221_3	8.45	0	79
C12_S37_286_2	8.46	0	4
C12_S37_303_2	8.46	0	2
C12_S37_320_2	8.46	0	2
C12_S37_340_2	8.52	0	25
C12_S37_406_2	8.46	0	2
C12_S37_408_2	8.46	0	2
C12_S37_453_2	8.46	0	2
C12_S37_461_2	8.46	0	2
C12_S37_476_2	8.46	0	2
C12_S37_478_2	8.46	0	2
C12_S7_241_3	8.52	0	3
C13_S16_64_2	4.33	0	2
C13_S19_136_4	5.54	0	34
C13_S20_306_2	5.47	0	6
C13_S20_329_2	6.24	0	144
C13_S20_632_2	6.54	0	4
C13_S20_773_2	6.68	0	414
C13_S23_107_3	6.18	0	3
C13_S23_124_3	6.66	0	60
C13_S35_261_2	6.92	0	34
C13_S38_101_4	6.68	0	166
C13_S38_103_3	6.77	0	18
C13_S38_108_4	6.68	0	64
C13_S38_352_2	6.68	0	2
C13_S41_112_3	5	0	15
C13_S46_96_4	7.5	0	4
C14_S0_0_298	3.66	0	4423
C14_S1_10_5	4.49	0	27
C14_S1_11_11	4.8	0	68
C14_S1_13_5	4.84	0	21
C14_S1_16_3	5.01	0	102
C14_S1_17_3	4.3	0	5
C14_S1_22_2	4.88	0	10
C14_S1_5_8	4.92	0	1460
C14_S12_105_2	6.14	0	44
C14_S12_118_2	5.67	0	546
C14_S12_152_2	4.42	0	99
C14_S12_194_2	5.33	0	651
C14_S12_64_2	4.87	0	247
C14_S15_10_8	4.42	0	72
C14_S15_108_2	4.32	0	9
C14_S15_109_2	5.54	0	188
C14_S15_11_8	5.18	0	226
